lane,length
:tl_18_2_0,13.23
:tl_18_3_0,8.94
:tl_18_4_0,14.81
:tl_18_4_1,14.81
:tl_19_0_0,31.42
:tl_19_0_1,31.42
:tl_19_2_0,22.37
:tl_19_3_0,13.22
:tl_19_4_0,21.15
:tl_19_4_1,21.15
:tl_19_6_0,20.92
:tl_19_6_1,20.92
:tl_19_8_0,15.1
:tl_1_0_0,36.56
:tl_1_10_0,35.66
:tl_1_11_0,44.49
:tl_1_11_1,44.49
:tl_1_13_0,10.2
:tl_1_14_0,27.41
:tl_1_14_1,27.41
:tl_1_14_2,27.41
:tl_1_14_3,27.41
:tl_1_14_4,27.41
:tl_1_19_0,9.02
:tl_1_1_0,44.18
:tl_1_1_1,44.18
:tl_1_3_0,11.44
:tl_1_4_0,26.14
:tl_1_4_1,26.14
:tl_1_4_2,26.14
:tl_1_4_3,26.14
:tl_1_4_4,26.14
:tl_1_9_0,9.59
:tl_20_0_0,41.41
:tl_20_10_0,38.31
:tl_20_11_0,41.08
:tl_20_11_1,41.08
:tl_20_11_2,41.08
:tl_20_11_3,41.08
:tl_20_15_0,9.02
:tl_20_16_0,41.09
:tl_20_17_0,24.66
:tl_20_17_1,24.66
:tl_20_19_0,8.07
:tl_20_1_0,42.56
:tl_20_1_1,42.56
:tl_20_1_2,42.56
:tl_20_1_3,42.56
:tl_20_5_0,10.22
:tl_20_6_0,40.26
:tl_20_7_0,25.59
:tl_20_7_1,25.59
:tl_20_9_0,8.12
:tl_21_0_0,30.11
:tl_21_0_1,30.11
:tl_21_10_0,10.35
:tl_21_11_0,30.85
:tl_21_12_0,26.2
:tl_21_12_1,26.2
:tl_21_14_0,9.13
:tl_21_2_0,8.74
:tl_21_3_0,31.82
:tl_21_4_0,27.63
:tl_21_4_1,27.63
:tl_21_6_0,9.37
:tl_21_7_0,30.8
:tl_21_8_0,30.13
:tl_21_8_1,30.13
:tl_22_0_0,46.93
:tl_22_1_0,52.68
:tl_22_1_1,52.68
:tl_22_3_0,49.04
:tl_22_4_0,48.97
:tl_22_4_1,48.97
:tl_22_6_0,33.24
:tl_22_7_0,52.46
:tl_22_7_1,52.46
:tl_22_9_0,36.99
:tl_23_0_0,42.04
:tl_23_1_0,45.83
:tl_23_1_1,45.83
:tl_23_3_0,17.06
:tl_23_4_0,31.24
:tl_23_4_1,31.24
:tl_23_6_0,15.05
:tl_23_7_0,29.08
:tl_23_7_1,29.08
:tl_24_0_0,16.87
:tl_24_0_1,16.87
:tl_24_2_0,22.51
:tl_24_3_0,34.03
:tl_24_3_1,34.03
:tl_24_5_0,11.19
:tl_24_6_0,16.17
:tl_24_6_1,16.17
:tl_24_8_0,15.05
:tl_25_0_0,36.28
:tl_25_0_1,37.66
:tl_25_0_2,39.18
:tl_25_10_0,25.51
:tl_25_10_1,25.51
:tl_25_12_0,8.64
:tl_25_3_0,26.98
:tl_25_3_1,26.98
:tl_25_5_0,34.47
:tl_25_6_0,41.4
:tl_25_6_1,41.4
:tl_25_6_2,41.4
:tl_25_9_0,19.47
:tl_26_0_0,17.38
:tl_26_1_0,22.05
:tl_26_2_0,13.34
:tl_26_3_0,19.37
:tl_26_3_1,19.37
:tl_26_3_2,19.37
:tl_26_6_0,15.4
:tl_26_7_0,21.75
:tl_26_8_0,8.78
:tl_27_0_0,25.13
:tl_27_1_0,23.96
:tl_27_1_1,23.96
:tl_27_3_0,22.0
:tl_27_4_0,31.34
:tl_27_4_1,31.34
:tl_27_6_0,19.82
:tl_27_7_0,24.22
:tl_27_7_1,24.22
:tl_27_9_0,9.44
:tl_28_0_0,27.39
:tl_28_0_1,27.39
:tl_28_2_0,9.4
:tl_28_3_0,30.69
:tl_28_4_0,24.53
:tl_28_4_1,24.53
:tl_28_6_0,26.23
